,CustomerID,Gender,Age,Annualincome,SpendingScore,Cluster
0,1,1,19,15,39,2
1,2,1,21,15,81,0
2,3,0,20,16,6,2
3,4,0,23,16,77,0
4,5,0,31,17,40,2
5,6,0,22,17,76,0
6,7,0,35,18,6,2
7,8,0,23,18,94,0
8,9,1,64,19,3,2
9,10,0,30,19,72,0
10,11,1,67,19,14,2
11,12,0,35,19,99,0
12,13,0,58,20,15,2
13,14,0,24,20,77,0
14,15,1,37,20,13,2
15,16,1,22,20,79,0
16,17,0,35,21,35,2
17,18,1,20,21,66,0
18,19,1,52,23,29,2
19,20,0,35,23,98,0
20,21,1,35,24,35,2
21,22,1,25,24,73,0
22,23,0,46,25,5,2
23,24,1,31,25,73,0
24,25,0,54,28,14,2
25,26,1,29,28,82,0
26,27,0,45,28,32,2
27,28,1,35,28,61,0
28,29,0,40,29,31,2
29,30,0,23,29,87,0
30,31,1,60,30,4,2
31,32,0,21,30,73,0
32,33,1,53,33,4,2
33,34,1,18,33,92,0
34,35,0,49,33,14,2
35,36,0,21,33,81,0
36,37,0,42,34,17,2
37,38,0,30,34,73,0
38,39,0,36,37,26,2
39,40,0,20,37,75,0
40,41,0,65,38,35,2
41,42,1,24,38,92,0
42,43,1,48,39,36,2
43,44,0,31,39,61,1
44,45,0,49,39,28,2
45,46,0,24,39,65,0
46,47,0,50,40,55,1
47,48,0,27,40,47,1
48,49,0,29,40,42,1
49,50,0,31,40,42,1
50,51,0,49,42,52,1
51,52,1,33,42,60,1
52,53,0,31,43,54,1
53,54,1,59,43,60,1
54,55,0,50,43,45,1
55,56,1,47,43,41,1
56,57,0,51,44,50,1
57,58,1,69,44,46,1
58,59,0,27,46,51,1
59,60,1,53,46,46,1
60,61,1,70,46,56,1
61,62,1,19,46,55,1
62,63,0,67,47,52,1
63,64,0,54,47,59,1
64,65,1,63,48,51,1
65,66,1,18,48,59,1
66,67,0,43,48,50,1
67,68,0,68,48,48,1
68,69,1,19,48,59,1
69,70,0,32,48,47,1
70,71,1,70,49,55,1
71,72,0,47,49,42,1
72,73,0,60,50,49,1
73,74,0,60,50,56,1
74,75,1,59,54,47,1
75,76,1,26,54,54,1
76,77,0,45,54,53,1
77,78,1,40,54,48,1
78,79,0,23,54,52,1
79,80,0,49,54,42,1
80,81,1,57,54,51,1
81,82,1,38,54,55,1
82,83,1,67,54,41,1
83,84,0,46,54,44,1
84,85,0,21,54,57,1
85,86,1,48,54,46,1
86,87,0,55,57,58,1
87,88,0,22,57,55,1
88,89,0,34,58,60,1
89,90,0,50,58,46,1
90,91,0,68,59,55,1
91,92,1,18,59,41,1
92,93,1,48,60,49,1
93,94,0,40,60,40,1
94,95,0,32,60,42,1
95,96,1,24,60,52,1
96,97,0,47,60,47,1
97,98,0,27,60,50,1
98,99,1,48,61,42,1
99,100,1,20,61,49,1
100,101,0,23,62,41,1
101,102,0,49,62,48,1
102,103,1,67,62,59,1
103,104,1,26,62,55,1
104,105,1,49,62,56,1
105,106,0,21,62,42,1
106,107,0,66,63,50,1
107,108,1,54,63,46,1
108,109,1,68,63,43,1
109,110,1,66,63,48,1
110,111,1,65,63,52,1
111,112,0,19,63,54,1
112,113,0,38,64,42,1
113,114,1,19,64,46,1
114,115,0,18,65,48,1
115,116,0,19,65,50,1
116,117,0,63,65,43,1
117,118,0,49,65,59,1
118,119,0,51,67,43,1
119,120,0,50,67,57,1
120,121,1,27,67,56,1
121,122,0,38,67,40,1
122,123,0,40,69,58,1
123,124,1,39,69,91,4
124,125,0,23,70,29,3
125,126,0,31,70,77,4
126,127,1,43,71,35,1
127,128,1,40,71,95,4
128,129,1,59,71,11,3
129,130,1,38,71,75,4
130,131,1,47,71,9,3
131,132,1,39,71,75,4
132,133,0,25,72,34,1
133,134,0,31,72,71,4
134,135,1,20,73,5,3
135,136,0,29,73,88,4
136,137,0,44,73,7,3
137,138,1,32,73,73,4
138,139,1,19,74,10,3
139,140,0,35,74,72,4
140,141,0,57,75,5,3
141,142,1,32,75,93,4
142,143,0,28,76,40,1
143,144,0,32,76,87,4
144,145,1,25,77,12,3
145,146,1,28,77,97,4
146,147,1,48,77,36,3
147,148,0,32,77,74,4
148,149,0,34,78,22,3
149,150,1,34,78,90,4
150,151,1,43,78,17,3
151,152,1,39,78,88,4
152,153,0,44,78,20,3
153,154,0,38,78,76,4
154,155,0,47,78,16,3
155,156,0,27,78,89,4
156,157,1,37,78,1,3
157,158,0,30,78,78,4
158,159,1,34,78,1,3
159,160,0,30,78,73,4
160,161,0,56,79,35,3
161,162,0,29,79,83,4
162,163,1,19,81,5,3
163,164,0,31,81,93,4
164,165,1,50,85,26,3
165,166,0,36,85,75,4
166,167,1,42,86,20,3
167,168,0,33,86,95,4
168,169,0,36,87,27,3
169,170,1,32,87,63,4
170,171,1,40,87,13,3
171,172,1,28,87,75,4
172,173,1,36,87,10,3
173,174,1,36,87,92,4
174,175,0,52,88,13,3
175,176,0,30,88,86,4
176,177,1,58,88,15,3
177,178,1,27,88,69,4
178,179,1,59,93,14,3
179,180,1,35,93,90,4
180,181,0,37,97,32,3
181,182,0,32,97,86,4
182,183,1,46,98,15,3
183,184,0,29,98,88,4
184,185,0,41,99,39,3
185,186,1,30,99,97,4
186,187,0,54,101,24,3
187,188,1,28,101,68,4
188,189,0,41,103,17,3
189,190,0,36,103,85,4
190,191,0,34,103,23,3
191,192,0,32,103,69,4
192,193,1,33,113,8,3
193,194,0,38,113,91,4
194,195,0,47,120,16,3
195,196,0,35,120,79,4
196,197,0,45,126,28,3
197,198,1,32,126,74,4
198,199,1,32,137,18,3
199,200,1,30,137,83,4
